origin_code,destination_code,mig_count_2000,origin_name,destination_name
ISR,USA,125896,Israel,United States
JPN,DZA,3,Japan,Algeria
JPN,ARG,5348,Japan,Argentina
JPN,BRA,70837,Japan,Brazil
JPN,CHN,2212,Japan,China
JPN,CZE,195,Japan,Czech Republic
JPN,ECU,427,Japan,Ecuador
JPN,EGY,1497,Japan,"Egypt, Arab Rep."
JPN,ETH,7,Japan,Ethiopia
JPN,FIN,610,Japan,Finland
JPN,HND,101,Japan,Honduras
JPN,IDN,1822,Japan,Indonesia
JPN,ISR,74,Japan,Israel
JPN,JPN,0,Japan,Japan
JPN,LBR,2,Japan,Liberia
JPN,MDG,72,Japan,Madagascar
JPN,NZL,8482,Japan,New Zealand
JPN,PAK,36,Japan,Pakistan
JPN,SCG,20,Japan,Serbia and Montenegro
JPN,ESP,2545,Japan,Spain
JPN,CHE,3591,Japan,Switzerland
JPN,SYR,21,Japan,Syrian Arab Republic
JPN,THA,15779,Japan,Thailand
JPN,GBR,59546,Japan,United Kingdom
JPN,USA,500527,Japan,United States
LBR,DZA,0,Liberia,Algeria
LBR,ARG,0,Liberia,Argentina
LBR,BRA,19,Liberia,Brazil
LBR,CHN,6,Liberia,China
LBR,CZE,9,Liberia,Czech Republic
LBR,ECU,8,Liberia,Ecuador
LBR,EGY,41,Liberia,"Egypt, Arab Rep."
LBR,ETH,0,Liberia,Ethiopia
LBR,FIN,38,Liberia,Finland
LBR,HND,0,Liberia,Honduras
LBR,IDN,4,Liberia,Indonesia
LBR,ISR,11441,Liberia,Israel
LBR,JPN,67,Liberia,Japan
LBR,LBR,0,Liberia,Liberia
LBR,MDG,0,Liberia,Madagascar
LBR,NZL,47,Liberia,New Zealand
LBR,PAK,12,Liberia,Pakistan
LBR,SCG,0,Liberia,Serbia and Montenegro
LBR,ESP,811,Liberia,Spain
LBR,CHE,196,Liberia,Switzerland
LBR,SYR,0,Liberia,Syrian Arab Republic
LBR,THA,160,Liberia,Thailand
LBR,GBR,307,Liberia,United Kingdom
LBR,USA,42949,Liberia,United States
MDG,DZA,0,Madagascar,Algeria
MDG,ARG,0,Madagascar,Argentina
MDG,BRA,51,Madagascar,Brazil
MDG,CHN,9,Madagascar,China
MDG,CZE,25,Madagascar,Czech Republic
MDG,ECU,3,Madagascar,Ecuador
MDG,EGY,49,Madagascar,"Egypt, Arab Rep."
MDG,ETH,33,Madagascar,Ethiopia
MDG,FIN,4,Madagascar,Finland
MDG,HND,0,Madagascar,Honduras
MDG,IDN,0,Madagascar,Indonesia
MDG,ISR,0,Madagascar,Israel
MDG,JPN,120,Madagascar,Japan
MDG,LBR,0,Madagascar,Liberia
MDG,MDG,0,Madagascar,Madagascar
MDG,NZL,18,Madagascar,New Zealand
MDG,PAK,9,Madagascar,Pakistan
MDG,SCG,19,Madagascar,Serbia and Montenegro
MDG,ESP,150,Madagascar,Spain
MDG,CHE,451,Madagascar,Switzerland
MDG,SYR,0,Madagascar,Syrian Arab Republic
MDG,THA,0,Madagascar,Thailand
MDG,GBR,31476,Madagascar,United Kingdom
MDG,USA,3522,Madagascar,United States
NZL,DZA,0,New Zealand,Algeria
NZL,ARG,0,New Zealand,Argentina
NZL,BRA,55,New Zealand,Brazil
NZL,CHN,448,New Zealand,China
NZL,CZE,35,New Zealand,Czech Republic
NZL,ECU,38,New Zealand,Ecuador
NZL,EGY,117,New Zealand,"Egypt, Arab Rep."
NZL,ETH,12,New Zealand,Ethiopia
NZL,FIN,95,New Zealand,Finland
NZL,HND,2,New Zealand,Honduras
NZL,IDN,68,New Zealand,Indonesia
NZL,ISR,373,New Zealand,Israel
NZL,JPN,3091,New Zealand,Japan
NZL,LBR,0,New Zealand,Liberia
NZL,MDG,26,New Zealand,Madagascar
NZL,NZL,0,New Zealand,New Zealand
NZL,PAK,146,New Zealand,Pakistan
NZL,SCG,223,New Zealand,Serbia and Montenegro
NZL,ESP,267,New Zealand,Spain
NZL,CHE,709,New Zealand,Switzerland
NZL,SYR,2,New Zealand,Syrian Arab Republic
NZL,THA,3803,New Zealand,Thailand
NZL,GBR,60530,New Zealand,United Kingdom
NZL,USA,26771,New Zealand,United States
PAK,DZA,1,Pakistan,Algeria
PAK,ARG,0,Pakistan,Argentina
PAK,BRA,172,Pakistan,Brazil
PAK,CHN,2460,Pakistan,China
PAK,CZE,94,Pakistan,Czech Republic
PAK,ECU,18,Pakistan,Ecuador
